Tue, Oct 25, 2016	7:30	New York Knicks	88	Cleveland Cavaliers	117	20,562	
Tue, Oct 25, 2016	10:30	San Antonio Spurs	129	Golden State Warriors	100	19,596	
Tue, Oct 25, 2016	10:00	Utah Jazz	104	Portland Trail Blazers	113	19,446	
Wed, Oct 26, 2016	7:30	Brooklyn Nets	117	Boston Celtics	122	18,624	
Wed, Oct 26, 2016	7:00	Dallas Mavericks	121	Indiana Pacers	130	17,923	
Wed, Oct 26, 2016	10:30	Houston Rockets	114	Los Angeles Lakers	120	18,997	
Wed, Oct 26, 2016	8:00	Minnesota Timberwolves	98	Memphis Grizzlies	102	18,119	
Wed, Oct 26, 2016	8:00	Charlotte Hornets	107	Milwaukee Bucks	96	18,717	
Wed, Oct 26, 2016	8:00	Denver Nuggets	107	New Orleans Pelicans	102	15,869	
Wed, Oct 26, 2016	7:00	Miami Heat	108	Orlando Magic	96	19,298	
Wed, Oct 26, 2016	8:00	Oklahoma City Thunder	103	Philadelphia 76ers	97	20,487	
Wed, Oct 26, 2016	10:00	Sacramento Kings	113	Phoenix Suns	94	18,055	
Wed, Oct 26, 2016	7:30 	Detroit Pistons	91	Toronto Raptors	109	19,800	
Thu, Oct 27, 2016	7:30	Washington Wizards	99	Atlanta Hawks	114	19,049	
Thu, Oct 27, 2016	8:00 	Boston Celtics	99	Chicago Bulls	105	21,501	
Thu, Oct 27, 2016	10:30 	Los Angeles Clippers	114	Portland Trail Blazers	106	19,500	
Thu, Oct 27, 2016	10:30 	San Antonio Spurs	102	Sacramento Kings	94	17,608	
Fri, Oct 28, 2016	7:30 	Indiana Pacers	94	Brooklyn Nets	103	17,732	
Fri, Oct 28, 2016	8:30 	Houston Rockets	106	Dallas Mavericks	98	20,163	
Fri, Oct 28, 2016	7:30 	Orlando Magic	82	Detroit Pistons	108	19,122	
Fri, Oct 28, 2016	8:00 	Charlotte Hornets	97	Miami Heat	91	19,600	
Fri, Oct 28, 2016	9:30 	Golden State Warriors	122	New Orleans Pelicans	114	18,217	
Fri, Oct 28, 2016	8:00 	Phoenix Suns	110	Oklahoma City Thunder	113	18,203	
Fri, Oct 28, 2016	7:00 	Cleveland Cavaliers	94	Toronto Raptors	91	19,800	
Fri, Oct 28, 2016	9:00 	Los Angeles Lakers	89	Utah Jazz	96	19,911	
Sat, Oct 29, 2016	8:00 	Indiana Pacers	101	Chicago Bulls	118	21,373	
Sat, Oct 29, 2016	7:00 	Boston Celtics	104	Charlotte Hornets	98	18,708	
Sat, Oct 29, 2016	7:30 	Orlando Magic	99	Cleveland Cavaliers	105	20,562	
Sat, Oct 29, 2016	9:00 	Portland Trail Blazers	115	Denver Nuggets	113	18,055	
Sat, Oct 29, 2016	8:00 	Brooklyn Nets	108	Milwaukee Bucks	110	12,570	
Sat, Oct 29, 2016	7:30 	Memphis Grizzlies	104	New York Knicks	111	19,812	
Sat, Oct 29, 2016	12:30 	Atlanta Hawks	104	Philadelphia 76ers	72	16,312	
Sat, Oct 29, 2016	10:30 	Minnesota Timberwolves	103	Sacramento Kings	106	17,608	
Sat, Oct 29, 2016	8:00 	New Orleans Pelicans	79	San Antonio Spurs	98	18,418	
Sun, Oct 30, 2016	6:00 	Milwaukee Bucks	83	Detroit Pistons	98	15,161	
Sun, Oct 30, 2016	8:00 	Dallas Mavericks	92	Houston Rockets	93	18,055	
Sun, Oct 30, 2016	4:30 	Utah Jazz	75	Los Angeles Clippers	88	19,060	
Sun, Oct 30, 2016	8:00 	Washington Wizards	103	Memphis Grizzlies	112	15,573	
Sun, Oct 30, 2016	6:00 	San Antonio Spurs	106	Miami Heat	99	19,678	
Sun, Oct 30, 2016	7:00 	Los Angeles Lakers	96	Oklahoma City Thunder	113	18,203	
Sun, Oct 30, 2016	6:00 	Golden State Warriors	106	Phoenix Suns	100	17,011	
Mon, Oct 31, 2016	7:30 	Sacramento Kings	95	Atlanta Hawks	106	12,501	
Mon, Oct 31, 2016	7:30 	Chicago Bulls	118	Brooklyn Nets	88	15,842	
Mon, Oct 31, 2016	10:30 	Phoenix Suns	98	Los Angeles Clippers	116	19,060	
Mon, Oct 31, 2016	7:30 	Denver Nuggets	102	Toronto Raptors	105	19,800
Tue, Nov 1, 2016	6:00	Houston Rockets	120	Cleveland Cavaliers	128	20,562	
Tue, Nov 1, 2016	7:30	New York Knicks	89	Detroit Pistons	102	13,087	
Tue, Nov 1, 2016	7:00	Los Angeles Lakers	108	Indiana Pacers	115	15,348	
Tue, Nov 1, 2016	7:30	Sacramento Kings	96	Miami Heat	108	19,612	
Tue, Nov 1, 2016	8:00	Memphis Grizzlies	80	Minnesota Timberwolves	116	14,774	
Tue, Nov 1, 2016	8:00	Milwaukee Bucks	117	New Orleans Pelicans	113	15,515	
Tue, Nov 1, 2016	7:00	Orlando Magic	103	Philadelphia 76ers	101	12,529	
Tue, Nov 1, 2016	10:00	Golden State Warriors	127	Portland Trail Blazers	104	19,393	
Tue, Nov 1, 2016	8:30	Utah Jazz	106	San Antonio Spurs	91	18,418	
Wed, Nov 2, 2016	7:30	Los Angeles Lakers	123	Atlanta Hawks	116	13,800	
Wed, Nov 2, 2016	8:00	Chicago Bulls	100	Boston Celtics	107	18,624	
Wed, Nov 2, 2016	7:30	Detroit Pistons	101	Brooklyn Nets	109	13,650	
Wed, Nov 2, 2016	7:00	Philadelphia 76ers	93	Charlotte Hornets	109	15,275	
Wed, Nov 2, 2016	10:30	Oklahoma City Thunder	85	Los Angeles Clippers	83	19,060	
