Tue, Oct 17, 2017|8:01 pm|Boston Celtics|99|Cleveland Cavaliers|102|20,562|
Tue, Oct 17, 2017|10:30 pm|Houston Rockets|122|Golden State Warriors|121|19,596|
Wed, Oct 18, 2017|7:30 pm|Milwaukee Bucks|108|Boston Celtics|100|18,624|
Wed, Oct 18, 2017|8:30 pm|Atlanta Hawks|117|Dallas Mavericks|111|19,709|
Wed, Oct 18, 2017|7:00 pm|Charlotte Hornets|90|Detroit Pistons|102|20,491|
Wed, Oct 18, 2017|7:00 pm|Brooklyn Nets|131|Indiana Pacers|140|15,008|
Wed, Oct 18, 2017|8:00 pm|New Orleans Pelicans|91|Memphis Grizzlies|103|17,794|
Wed, Oct 18, 2017|7:00 pm|Miami Heat|109|Orlando Magic|116|18,846|
Wed, Oct 18, 2017|10:00 pm|Portland Trail Blazers|124|Phoenix Suns|76|18,055|
Wed, Oct 18, 2017|10:00 pm|Houston Rockets|105|Sacramento Kings|100|17,583|
Wed, Oct 18, 2017|9:30 pm|Minnesota Timberwolves|99|San Antonio Spurs|107|18,418|
Wed, Oct 18, 2017|9:00 pm|Denver Nuggets|96|Utah Jazz|106|17,588|
Wed, Oct 18, 2017|7:00 pm|Philadelphia 76ers|115|Washington Wizards|120|20,356|
Thu, Oct 19, 2017|10:30 pm|Los Angeles Clippers|108|Los Angeles Lakers|92|18,997|
Thu, Oct 19, 2017|8:00 pm|New York Knicks|84|Oklahoma City Thunder|105|18,203|
Thu, Oct 19, 2017|7:30 pm|Chicago Bulls|100|Toronto Raptors|117|19,800|
Fri, Oct 20, 2017|7:30 pm|Orlando Magic|121|Brooklyn Nets|126|16,144|
Fri, Oct 20, 2017|7:00 pm|Atlanta Hawks|91|Charlotte Hornets|109|18,417|
Fri, Oct 20, 2017|8:30 pm|Sacramento Kings|93|Dallas Mavericks|88|19,273|
Fri, Oct 20, 2017|7:00 pm|Portland Trail Blazers|114|Indiana Pacers|96|15,325|
Fri, Oct 20, 2017|7:00 pm|Cleveland Cavaliers|116|Milwaukee Bucks|97|18,717|
Fri, Oct 20, 2017|8:00 pm|Utah Jazz|97|Minnesota Timberwolves|100|18,978|
Fri, Oct 20, 2017|9:30 pm|Golden State Warriors|128|New Orleans Pelicans|120|18,171|
Fri, Oct 20, 2017|7:00 pm|Boston Celtics|102|Philadelphia 76ers|92|20,816|
Fri, Oct 20, 2017|10:00 pm|Los Angeles Lakers|132|Phoenix Suns|130|18,055|
Fri, Oct 20, 2017|7:00 pm|Detroit Pistons|111|Washington Wizards|115|16,337|
Sat, Oct 21, 2017|8:00 pm|San Antonio Spurs|87|Chicago Bulls|77|21,640|
Sat, Oct 21, 2017|8:00 pm|Orlando Magic|114|Cleveland Cavaliers|93|20,562|
Sat, Oct 21, 2017|9:00 pm|Sacramento Kings|79|Denver Nuggets|96|19,520|
Sat, Oct 21, 2017|8:00 pm|Dallas Mavericks|91|Houston Rockets|107|18,055|
Sat, Oct 21, 2017|10:30 pm|Phoenix Suns|88|Los Angeles Clippers|130|19,068|
Sat, Oct 21, 2017|8:00 pm|Golden State Warriors|101|Memphis Grizzlies|111|17,794|
Sat, Oct 21, 2017|8:00 pm|Indiana Pacers|108|Miami Heat|112|19,600|
Sat, Oct 21, 2017|8:30 pm|Portland Trail Blazers|110|Milwaukee Bucks|113|16,211|
Sat, Oct 21, 2017|8:00 pm|Detroit Pistons|111|New York Knicks|107|19,812|
Sat, Oct 21, 2017|7:30 pm|Philadelphia 76ers|94|Toronto Raptors|128|19,800|
Sat, Oct 21, 2017|9:00 pm|Oklahoma City Thunder|87|Utah Jazz|96|18,300|
Sun, Oct 22, 2017|3:30 pm|Atlanta Hawks|104|Brooklyn Nets|116|13,917|
Sun, Oct 22, 2017|9:30 pm|New Orleans Pelicans|119|Los Angeles Lakers|112|18,997|
Sun, Oct 22, 2017|7:00 pm|Minnesota Timberwolves|115|Oklahoma City Thunder|113|18,203|
Mon, Oct 23, 2017|8:30 pm|Golden State Warriors|133|Dallas Mavericks|103|19,875|
Mon, Oct 23, 2017|9:00 pm|Washington Wizards|109|Denver Nuggets|104|14,294|
Mon, Oct 23, 2017|7:00 pm|Philadelphia 76ers|97|Detroit Pistons|86|13,709|
Mon, Oct 23, 2017|8:00 pm|Memphis Grizzlies|98|Houston Rockets|90|17,129|
Mon, Oct 23, 2017|7:30 pm|Atlanta Hawks|93|Miami Heat|104|19,600|
Mon, Oct 23, 2017|8:00 pm|Charlotte Hornets|94|Milwaukee Bucks|103|12,887|
Mon, Oct 23, 2017|10:00 pm|Sacramento Kings|115|Phoenix Suns|117|14,903|
Mon, Oct 23, 2017|8:30 pm|Toronto Raptors|97|San Antonio Spurs|101|18,418|
Tue, Oct 24, 2017|7:30 pm|New York Knicks|89|Boston Celtics|110|18,624|
Tue, Oct 24, 2017|7:00 pm|Chicago Bulls|112|Cleveland Cavaliers|119|20,562|
Tue, Oct 24, 2017|10:30 pm|Utah Jazz|84|Los Angeles Clippers|102|16,607|
Tue, Oct 24, 2017|8:00 pm|Indiana Pacers|130|Minnesota Timberwolves|107|14,353|
Tue, Oct 24, 2017|7:00 pm|Brooklyn Nets|121|Orlando Magic|125|16,015|
Tue, Oct 24, 2017|10:00 pm|New Orleans Pelicans|93|Portland Trail Blazers|103|19,446|
Wed, Oct 25, 2017|7:30 pm|Cleveland Cavaliers|107|Brooklyn Nets|112|17,732|
Wed, Oct 25, 2017|7:00 pm|Denver Nuggets|93|Charlotte Hornets|110|14,253|
Wed, Oct 25, 2017|8:30 pm|Memphis Grizzlies|94|Dallas Mavericks|103|19,674|
Wed, Oct 25, 2017|7:00 pm|Minnesota Timberwolves|101|Detroit Pistons|122|13,790|
Wed, Oct 25, 2017|10:30 pm|Toronto Raptors|112|Golden State Warriors|117|19,596|
Wed, Oct 25, 2017|10:30 pm|Washington Wizards|99|Los Angeles Lakers|102|18,996|
Wed, Oct 25, 2017|8:00 pm|San Antonio Spurs|117|Miami Heat|100|19,600|
Wed, Oct 25, 2017|8:00 pm|Indiana Pacers|96|Oklahoma City Thunder|114|18,203|
Wed, Oct 25, 2017|7:00 pm|Houston Rockets|105|Philadelphia 76ers|104|20,682|
Wed, Oct 25, 2017|10:00 pm|Utah Jazz|88|Phoenix Suns|97|16,022|
Thu, Oct 26, 2017|8:00 pm|Atlanta Hawks|86|Chicago Bulls|91|21,104|
Thu, Oct 26, 2017|8:00 pm|Dallas Mavericks|91|Memphis Grizzlies|96|15,839|
Thu, Oct 26, 2017|8:00 pm|Boston Celtics|96|Milwaukee Bucks|89|11,046|
Thu, Oct 26, 2017|10:00 pm|Los Angeles Clippers|104|Portland Trail Blazers|103|18,694|
Thu, Oct 26, 2017|10:30 pm|New Orleans Pelicans|114|Sacramento Kings|106|17,583|
Fri, Oct 27, 2017|7:30 pm|Denver Nuggets|105|Atlanta Hawks|100|16,220|
Fri, Oct 27, 2017|7:00 pm|Houston Rockets|109|Charlotte Hornets|93|17,339|
Fri, Oct 27, 2017|10:30 pm|Washington Wizards|117|Golden State Warriors|120|19,596|
Fri, Oct 27, 2017|10:30 pm|Toronto Raptors|101|Los Angeles Lakers|92|17,876|
Fri, Oct 27, 2017|8:00 pm|Oklahoma City Thunder|116|Minnesota Timberwolves|119|17,620|
Fri, Oct 27, 2017|7:30 pm|Brooklyn Nets|86|New York Knicks|107|19,812|
Fri, Oct 27, 2017|7:00 pm|San Antonio Spurs|87|Orlando Magic|114|17,337|
Sat, Oct 28, 2017|8:00 pm|Oklahoma City Thunder|101|Chicago Bulls|69|21,706|
Sat, Oct 28, 2017|8:30 pm|Philadelphia 76ers|112|Dallas Mavericks|110|19,567|
Sat, Oct 28, 2017|10:30 pm|Detroit Pistons|95|Los Angeles Clippers|87|17,247|
Sat, Oct 28, 2017|8:00 pm|Houston Rockets|89|Memphis Grizzlies|103|17,033|
Sat, Oct 28, 2017|8:00 pm|Boston Celtics|96|Miami Heat|90|19,600|
Sat, Oct 28, 2017|7:00 pm|Cleveland Cavaliers|101|New Orleans Pelicans|123|18,539|
Sat, Oct 28, 2017|10:00 pm|Phoenix Suns|107|Portland Trail Blazers|114|19,343|
Sat, Oct 28, 2017|9:00 pm|Los Angeles Lakers|81|Utah Jazz|96|18,306|
Sun, Oct 29, 2017|3:30 pm|Milwaukee Bucks|117|Atlanta Hawks|106|14,014|
Sun, Oct 29, 2017|6:00 pm|Denver Nuggets|124|Brooklyn Nets|111|14,854|
Sun, Oct 29, 2017|6:00 pm|Orlando Magic|113|Charlotte Hornets|120|15,531|
Sun, Oct 29, 2017|7:00 pm|New York Knicks|114|Cleveland Cavaliers|95|20,562|
Sun, Oct 29, 2017|8:30 pm|Detroit Pistons|115|Golden State Warriors|107|19,596|
Sun, Oct 29, 2017|4:30 pm|San Antonio Spurs|94|Indiana Pacers|97|15,013|
Sun, Oct 29, 2017|6:00 pm|Washington Wizards|110|Sacramento Kings|83|17,583|
Mon, Oct 30, 2017|7:30 pm|San Antonio Spurs|94|Boston Celtics|108|18,624|
Mon, Oct 30, 2017|8:00 pm|Philadelphia 76ers|115|Houston Rockets|107|16,714|
Mon, Oct 30, 2017|10:30 pm|Golden State Warriors|141|Los Angeles Clippers|113|19,068|
Mon, Oct 30, 2017|8:00 pm|Charlotte Hornets|104|Memphis Grizzlies|99|15,771|
Mon, Oct 30, 2017|7:30 pm|Minnesota Timberwolves|125|Miami Heat|122|19,600|
Mon, Oct 30, 2017|8:00 pm|Orlando Magic|115|New Orleans Pelicans|99|14,004|
Mon, Oct 30, 2017|7:30 pm|Denver Nuggets|110|New York Knicks|116|19,812|
Mon, Oct 30, 2017|10:00 pm|Toronto Raptors|99|Portland Trail Blazers|85|18,505|
Mon, Oct 30, 2017|9:00 pm|Dallas Mavericks|89|Utah Jazz|104|16,221|
Tue, Oct 31, 2017|7:30 pm|Phoenix Suns|122|Brooklyn Nets|114|12,936|
Tue, Oct 31, 2017|7:00 pm|Sacramento Kings|83|Indiana Pacers|101|12,245|
Tue, Oct 31, 2017|10:30 pm|Detroit Pistons|93|Los Angeles Lakers|113|17,569|
Tue, Oct 31, 2017|8:00 pm|Oklahoma City Thunder|110|Milwaukee Bucks|91|16,713|
Wed, Nov 1, 2017|7:30 pm|Sacramento Kings|86|Boston Celtics|113|18,624|
Wed, Nov 1, 2017|7:00 pm|Milwaukee Bucks|121|Charlotte Hornets|126|15,655|
Wed, Nov 1, 2017|7:00 pm|Indiana Pacers|124|Cleveland Cavaliers|107|20,562|
Wed, Nov 1, 2017|9:00 pm|Toronto Raptors|111|Denver Nuggets|129|14,072|
Wed, Nov 1, 2017|10:30 pm|Dallas Mavericks|98|Los Angeles Clippers|119|13,487|
Wed, Nov 1, 2017|8:00 pm|Orlando Magic|101|Memphis Grizzlies|99|15,434|
Wed, Nov 1, 2017|7:30 pm|Chicago Bulls|91|Miami Heat|97|19,600|
Wed, Nov 1, 2017|8:00 pm|Minnesota Timberwolves|104|New Orleans Pelicans|98|14,788|
Wed, Nov 1, 2017|8:00 pm|Houston Rockets|119|New York Knicks|97|18,320|
Wed, Nov 1, 2017|7:00 pm|Atlanta Hawks|109|Philadelphia 76ers|119|20,549|
Wed, Nov 1, 2017|9:00 pm|Portland Trail Blazers|103|Utah Jazz|112|16,685|
Wed, Nov 1, 2017|7:00 pm|Phoenix Suns|122|Washington Wizards|116|14,790|
Thu, Nov 2, 2017|10:30 pm|Los Angeles Lakers|110|Portland Trail Blazers|113|19,469|
Thu, Nov 2, 2017|8:00 pm|Golden State Warriors|112|San Antonio Spurs|92|18,418|
Fri, Nov 3, 2017|7:30 pm|Houston Rockets|119|Atlanta Hawks|104|14,087|
Fri, Nov 3, 2017|8:30 pm|New Orleans Pelicans|99|Dallas Mavericks|94|19,894|
Fri, Nov 3, 2017|9:00 pm|Miami Heat|94|Denver Nuggets|95|15,317|
Fri, Nov 3, 2017|7:00 pm|Milwaukee Bucks|96|Detroit Pistons|105|17,207|
Fri, Nov 3, 2017|10:30 pm|Brooklyn Nets|112|Los Angeles Lakers|124|18,997|
Fri, Nov 3, 2017|7:30 pm|Phoenix Suns|107|New York Knicks|120|19,404|
Fri, Nov 3, 2017|9:30 pm|Boston Celtics|101|Oklahoma City Thunder|94|18,203|
Fri, Nov 3, 2017|7:00 pm|Chicago Bulls|105|Orlando Magic|83|19,171|
Fri, Nov 3, 2017|7:00 pm|Indiana Pacers|110|Philadelphia 76ers|121|20,668|
Fri, Nov 3, 2017|8:30 pm|Charlotte Hornets|101|San Antonio Spurs|108|18,418|
Fri, Nov 3, 2017|9:00 pm|Toronto Raptors|109|Utah Jazz|100|16,258|
Fri, Nov 3, 2017|7:00 pm|Cleveland Cavaliers|130|Washington Wizards|122|20,356|
Sat, Nov 4, 2017|8:00 pm|New Orleans Pelicans|96|Chicago Bulls|90|21,254|
Sat, Nov 4, 2017|9:00 pm|Golden State Warriors|127|Denver Nuggets|108|19,711|
Sat, Nov 4, 2017|7:00 pm|Sacramento Kings|99|Detroit Pistons|108|17,683|
Sat, Nov 4, 2017|3:30 pm|Memphis Grizzlies|113|Los Angeles Clippers|104|14,777|
Sat, Nov 4, 2017|8:00 pm|Dallas Mavericks|99|Minnesota Timberwolves|112|16,837|
Sun, Nov 5, 2017|3:00 pm|Atlanta Hawks|117|Cleveland Cavaliers|115|20,562|
Sun, Nov 5, 2017|7:00 pm|Utah Jazz|110|Houston Rockets|137|16,914|
Sun, Nov 5, 2017|3:30 pm|Miami Heat|104|Los Angeles Clippers|101|15,676|
Sun, Nov 5, 2017|9:30 pm|Memphis Grizzlies|102|Los Angeles Lakers|107|18,997|
Sun, Nov 5, 2017|8:00 pm|Charlotte Hornets|94|Minnesota Timberwolves|112|14,124|
Sun, Nov 5, 2017|7:30 pm|Indiana Pacers|101|New York Knicks|108|17,889|
Sun, Nov 5, 2017|6:00 pm|Boston Celtics|104|Orlando Magic|88|17,731|
Sun, Nov 5, 2017|9:00 pm|Oklahoma City Thunder|99|Portland Trail Blazers|103|19,393|
Sun, Nov 5, 2017|7:00 pm|Phoenix Suns|95|San Antonio Spurs|112|18,038|
Sun, Nov 5, 2017|6:00 pm|Washington Wizards|107|Toronto Raptors|96|19,800|
Mon, Nov 6, 2017|7:30 pm|Boston Celtics|110|Atlanta Hawks|107|13,215|
Mon, Nov 6, 2017|10:30 pm|Miami Heat|80|Golden State Warriors|97|19,596|
Mon, Nov 6, 2017|9:00 pm|Brooklyn Nets|98|Phoenix Suns|92|15,905|
Tue, Nov 7, 2017|7:00 pm|Milwaukee Bucks|119|Cleveland Cavaliers|124|20,562|
Tue, Nov 7, 2017|9:00 pm|Brooklyn Nets|104|Denver Nuggets|112|14,058|
Tue, Nov 7, 2017|7:00 pm|New Orleans Pelicans|117|Indiana Pacers|112|15,014|
Tue, Nov 7, 2017|7:30 pm|Charlotte Hornets|113|New York Knicks|118|18,704|
Tue, Nov 7, 2017|10:00 pm|Memphis Grizzlies|98|Portland Trail Blazers|97|18,692|
Tue, Nov 7, 2017|10:00 pm|Oklahoma City Thunder|86|Sacramento Kings|94|17,583|
Tue, Nov 7, 2017|8:30 pm|Los Angeles Clippers|107|San Antonio Spurs|120|18,418|
Tue, Nov 7, 2017|7:30 pm|Chicago Bulls|114|Toronto Raptors|119|19,800|
Tue, Nov 7, 2017|9:00 pm|Philadelphia 76ers|104|Utah Jazz|97|16,063|
Tue, Nov 7, 2017|7:00 pm|Dallas Mavericks|113|Washington Wizards|99|14,505|
Wed, Nov 8, 2017|8:00 pm|Los Angeles Lakers|96|Boston Celtics|107|18,624|
Wed, Nov 8, 2017|7:00 pm|Indiana Pacers|97|Detroit Pistons|114|14,407|
Wed, Nov 8, 2017|10:30 pm|Minnesota Timberwolves|101|Golden State Warriors|125|19,596|
Wed, Nov 8, 2017|7:00 pm|New York Knicks|99|Orlando Magic|112|18,803|
Wed, Nov 8, 2017|9:00 pm|Miami Heat|126|Phoenix Suns|115|16,500|
Thu, Nov 9, 2017|10:30 pm|Oklahoma City Thunder|94|Denver Nuggets|102|19,520|
Thu, Nov 9, 2017|8:00 pm|Cleveland Cavaliers|113|Houston Rockets|117|18,055|
Thu, Nov 9, 2017|10:00 pm|Philadelphia 76ers|108|Sacramento Kings|109|17,583|
Thu, Nov 9, 2017|7:30 pm|New Orleans Pelicans|118|Toronto Raptors|122|19,800|
Thu, Nov 9, 2017|7:00 pm|Los Angeles Lakers|95|Washington Wizards|111|20,356|
Fri, Nov 10, 2017|7:30 pm|Charlotte Hornets|87|Boston Celtics|90|18,624|
Fri, Nov 10, 2017|8:00 pm|Indiana Pacers|105|Chicago Bulls|87|22,416|
Fri, Nov 10, 2017|7:00 pm|Atlanta Hawks|104|Detroit Pistons|111|16,687|
Fri, Nov 10, 2017|9:00 pm|Los Angeles Clippers|111|Oklahoma City Thunder|120|18,203|
Fri, Nov 10, 2017|9:00 pm|Orlando Magic|128|Phoenix Suns|112|16,507|
Fri, Nov 10, 2017|10:00 pm|Brooklyn Nets|101|Portland Trail Blazers|97|19,393|
Fri, Nov 10, 2017|9:00 pm|Milwaukee Bucks|94|San Antonio Spurs|87|18,418|
Fri, Nov 10, 2017|9:00 pm|Miami Heat|84|Utah Jazz|74|18,306|
Sat, Nov 11, 2017|8:30 pm|Cleveland Cavaliers|111|Dallas Mavericks|104|20,378|
Sat, Nov 11, 2017|9:00 pm|Orlando Magic|107|Denver Nuggets|125|16,688|
Sat, Nov 11, 2017|8:30 pm|Philadelphia 76ers|114|Golden State Warriors|135|19,596|
Sat, Nov 11, 2017|8:00 pm|Memphis Grizzlies|96|Houston Rockets|111|18,055|
Sat, Nov 11, 2017|8:30 pm|Los Angeles Lakers|90|Milwaukee Bucks|98|18,717|
